,STNAME,CTYNAME,POP2020,POP2015,POP2010,POPGROWTH,WORK2020,WORK2015,WORK2010,WORKGROWTH,TYPE,DISTRESSED
679,Illinois,Scott County,4950,5112.0,5330.0,-7.129455909943716,3077.0,3246.0,3343.0,-7.9569249177385615,R,A
680,Illinois,Shelby County,21299,21819.0,22354.0,-4.719513286212762,12574.0,13437.0,14037.0,-10.422454940514358,R,A
681,Illinois,Stark County,5262,5508.0,5970.0,-11.859296482412063,3133.0,3372.0,3663.0,-14.469014469014475,R,A
682,Illinois,Stephenson County,43831,45680.0,47606.0,-7.929672730328107,25789.0,27966.0,29904.0,-13.760700909577317,R,A
683,Illinois,Tazewell County,130777,134350.0,135487.0,-3.4763482843372384,81076.0,85292.0,87920.0,-7.784349408553226,S,A
684,Illinois,Union County,16498,17285.0,17729.0,-6.943426025156518,10016.0,10795.0,11398.0,-12.124934198982274,R,A
685,Illinois,Vermilion County,74855,79209.0,81642.0,-8.313123147399626,45224.0,49379.0,52005.0,-13.039130852802616,R,A
686,Illinois,Wabash County,11190,11627.0,11916.0,-6.092648539778445,6661.0,7221.0,7631.0,-12.711309133796355,R,A
687,Illinois,Warren County,16696,17448.0,17710.0,-5.725578769057027,10236.0,11119.0,11458.0,-10.665037528364463,R,A
688,Illinois,Washington County,13764,14259.0,14711.0,-6.4373597987900215,8488.0,9102.0,9577.0,-11.370993004072261,R,A
689,Illinois,Wayne County,16031,16534.0,16739.0,-4.229643347870238,9479.0,10043.0,10348.0,-8.397758020873603,R,A
690,Illinois,White County,13364,14204.0,14598.0,-8.453212768872454,7938.0,8555.0,9020.0,-11.99556541019956,R,A
691,Illinois,Whiteside County,54656,56943.0,58489.0,-6.553369009557352,32982.0,35447.0,36960.0,-10.762987012987013,R,A
692,Illinois,Will County,688726,685825.0,678829.0,1.457951855327333,458550.0,460193.0,453469.0,1.1204735053553794,U,N
693,Illinois,Williamson County,66415,67457.0,66440.0,-0.03762793497892325,41464.0,42992.0,43364.0,-4.381514620422466,R,B
694,Illinois,Winnebago County,281295,287237.0,295090.0,-4.6748449625537924,175371.0,184945.0,193740.0,-9.481263549086405,S,A
695,Illinois,Woodford County,38091,38949.0,38662.0,-1.4769023847705731,23446.0,24685.0,24723.0,-5.165230756785178,R,A
696,Indiana,Adams County,35839,34962.0,34442.0,4.056094303466695,20595.0,20592.0,20603.0,-0.038829296704367966,R,N
697,Indiana,Allen County,382187,367508.0,355956.0,7.3691692231624195,242779.0,238181.0,233798.0,3.8413502254082577,S,N
698,Indiana,Bartholomew County,84447,81516.0,76823.0,9.92411126876065,53416.0,52769.0,50105.0,6.608122941822181,R,N
699,Indiana,Benton County,8741,8698.0,8863.0,-1.37650908270337,5410.0,5449.0,5587.0,-3.1680687309826427,R,B
700,Indiana,Blackford County,11782,12237.0,12771.0,-7.744107744107742,7065.0,7538.0,8143.0,-13.238364239223877,R,A
701,Indiana,Boone County,69347,63080.0,56924.0,21.82383528915748,44654.0,41190.0,37114.0,20.315783801260977,R,N
702,Indiana,Brown County,15112,15003.0,15210.0,-0.6443129520052548,9162.0,9367.0,10064.0,-8.962639109697934,R,A
703,Indiana,Carroll County,20228,19891.0,20200.0,0.13861386138613874,12539.0,12583.0,12964.0,-3.278309163838322,R,B
704,Indiana,Cass County,37388,38079.0,38985.0,-4.0964473515454625,23563.0,24346.0,24936.0,-5.506095604748151,R,A
705,Indiana,Clark County,119266,114887.0,110572.0,7.862750063307167,77659.0,76127.0,74697.0,3.9653533609114167,S,N
706,Indiana,Clay County,26246,26406.0,26863.0,-2.2968395190410607,16320.0,16993.0,17581.0,-7.172515784085087,R,A
707,Indiana,Clinton County,32206,32372.0,33222.0,-3.058214436216966,19724.0,20154.0,21041.0,-6.259208212537426,R,A
708,Indiana,Crawford County,10629,10556.0,10711.0,-0.765568107552983,6545.0,6718.0,7050.0,-7.163120567375891,R,A
709,Indiana,Daviess County,33505,32819.0,31721.0,5.624034551243651,19961.0,19931.0,19579.0,1.9510700240053191,R,N
710,Indiana,Dearborn County,49824,49491.0,50082.0,-0.5151551455612746,31736.0,32332.0,33204.0,-4.421154077821954,R,B
711,Indiana,Decatur County,26584,26338.0,25795.0,3.0587323124636523,16805.0,16871.0,16616.0,1.1374578719306694,R,N
712,Indiana,DeKalb County,43670,42511.0,42335.0,3.1534191567261116,27633.0,27524.0,27568.0,0.2357806152060382,R,N
713,Indiana,Delaware County,113454,115814.0,117671.0,-3.583720712834937,76711.0,79131.0,81128.0,-5.444482792624006,S,A
714,Indiana,Dubois County,42542,42329.0,41905.0,1.5201049994034044,26141.0,27031.0,27033.0,-3.2996707727592223,R,B
715,Indiana,Elkhart County,206161,203022.0,197453.0,4.410163431297565,127610.0,127873.0,126378.0,0.974853218123406,S,N
716,Indiana,Fayette County,22892,23389.0,24325.0,-5.891058581706066,13993.0,14732.0,15488.0,-9.652634297520656,R,A
717,Indiana,Floyd County,78936,76559.0,74706.0,5.662195807565662,50857.0,50704.0,50252.0,1.2039321818037019,R,N
718,Indiana,Fountain County,16511,16543.0,17280.0,-4.450231481481481,10162.0,10345.0,10816.0,-6.046597633136097,R,A
719,Indiana,Franklin County,22761,22953.0,23058.0,-1.2880562060889944,14114.0,14759.0,14915.0,-5.370432450553131,R,A
720,Indiana,Fulton County,20018,20346.0,20818.0,-3.842828321644731,12007.0,12683.0,13161.0,-8.768330673960945,R,A
721,Indiana,Gibson County,33825,33656.0,33545.0,0.8346996571769294,21109.0,21532.0,21767.0,-3.022924610649147,R,B
722,Indiana,Grant County,65225,67543.0,69906.0,-6.696134809601462,40933.0,43728.0,46261.0,-11.51726075960312,R,A
723,Indiana,Greene County,32203,32428.0,33205.0,-3.017617828640262,20006.0,20551.0,21409.0,-6.553318697743937,R,A
724,Indiana,Hamilton County,344238,308623.0,276499.0,24.498822780552555,225061.0,202957.0,182387.0,23.397500918376867,S,N
725,Indiana,Hancock County,79553,72441.0,70246.0,13.249152976681945,50898.0,47260.0,46074.0,10.470113296002094,R,N
726,Indiana,Harrison County,40682,39537.0,39328.0,3.4428397070789263,25676.0,25710.0,26259.0,-2.2201911725503676,R,B
727,Indiana,Hendricks County,173251,157848.0,145954.0,18.702467900845466,113401.0,104508.0,97126.0,16.75658423079298,S,N
728,Indiana,Henry County,48033,48662.0,49530.0,-3.022410660205932,30707.0,31660.0,32526.0,-5.592449117628973,R,A
729,Indiana,Howard County,82732,82378.0,82753.0,-0.025376723502468224,50551.0,51865.0,53245.0,-5.059630012207716,R,A
730,Indiana,Huntington County,36395,36535.0,37115.0,-1.939916475818404,23359.0,24120.0,24503.0,-4.668816063339188,R,B
731,Indiana,Jackson County,44222,43892.0,42584.0,3.84651512305092,27693.0,28095.0,27867.0,-0.6243944450425198,R,B
732,Indiana,Jasper County,33440,33498.0,33497.0,-0.1701644923425949,21135.0,21534.0,21783.0,-2.974796859936646,R,B
